objID,ra,dec,z,zErr,photoz,photozErr,u,g,r,i,zmag,err_u,err_g,err_r,err_i,err_z
1237662473154330763,236.59671,35.684754,0.1516771,3.14291E-05,0.13998,0.008833,20.00618,17.97054,16.85631,16.38787,16.01585,0.08190212,0.008010345,0.004996552,0.004742576,0.009476283
1237662473154330930,236.69871,35.664239,0.07735498,2.409425E-05,0.090182,0.02626,19.60564,18.25011,17.60302,17.24656,17.02754,0.06777629,0.01086151,0.008316907,0.008583864,0.02255366
1237662473690939500,236.326,36.213644,0.06753454,2.325664E-05,0.076209,0.010369,19.76818,17.8607,16.97948,16.56202,16.25617,0.0568632,0.006791496,0.004910951,0.004705733,0.01071244
1237662473690939647,236.28331,36.184873,0.05844347,2.415837E-05,0.065513,0.015006,18.20866,16.87177,16.25138,15.9163,15.71328,0.02901521,0.005280048,0.00450434,0.004608886,0.01347245
1237662473690939703,236.38213,36.217623,0.06134604,1.793831E-05,0.061887,0.010076,18.80227,16.93591,16.07286,15.66025,15.34227,0.0320107,0.004457183,0.003428982,0.003324994,0.006797218
1237662473690939706,236.46118,36.30367,0.1585494,4.31697E-05,0.166543,0.00974,20.97008,18.5437,17.37269,16.88754,16.54925,0.1924191,0.01202502,0.00688578,0.006334042,0.01551726
1237662473691005086,236.33983,36.146179,0.07616055,7.837183E-06,0.074716,0.020247,19.32014,18.15948,17.72118,17.43003,17.36083,0.04450622,0.008532987,0.008048243,0.008381568,0.0280224
1237662473691005092,236.44768,36.254269,0.06952496,2.170037E-05,0.061403,0.011617,18.81066,17.07988,16.26805,15.90295,15.60675,0.03385378,0.004728311,0.003653582,0.003594689,0.00810153
1237662473691005104,236.36196,36.155037,0.06888978,1.953971E-05,0.0625,0.012383,19.35167,17.53033,16.69919,16.31105,16.01377,0.04174457,0.005711615,0.004315948,0.00420515,0.009191948
1237662473691005120,236.37001,36.133343,0.06534892,3.115347E-05,0.085884,0.01787,20.08716,18.31786,17.471,17.09365,16.80202,0.07117082,0.008926649,0.006436909,0.006231185,0.01530592
1237662473691005127,236.43274,36.196926,0.07812747,1.937754E-05,0.08136,0.008668,18.2175,16.27185,15.32941,14.90517,14.56316,0.0260557,0.00359853,0.002733082,0.002643823,0.004959086
1237662473691005150,236.42131,36.137426,0.06137229,6.049858E-06,0.063797,0.01052,18.13808,17.15285,16.829,16.5455,16.44131,0.02212905,0.005542708,0.005518124,0.005814103,0.01912447
1237662473691070641,236.64889,36.16354,0.06372982,8.469001E-06,0.061846,0.015638,18.26752,17.24881,16.81224,16.49025,16.29615,0.02145158,0.005340671,0.004692168,0.004820979,0.01258914
1237662473691070730,236.59941,36.108261,0.3178239,3.164642E-05,0.195745,0.020205,20.70705,19.07384,17.8069,17.28765,16.87889,0.1852532,0.02073219,0.009993056,0.009065925,0.02326113
1237662473691136154,236.73739,36.068504,0.1228896,2.424758E-05,0.102915,0.022913,18.87269,17.46309,16.65202,16.20088,15.84618,0.03851634,0.006054431,0.004564902,0.004344197,0.01005539
1237662473691136193,236.72726,35.990148,0.1863666,4.792489E-05,0.193719,0.011605,21.08986,19.04724,17.77165,17.27072,16.90519,0.1825796,0.0155138,0.008100549,0.007412338,0.01809946
1237662473691136233,236.8605,36.080049,0.1651205,3.204281E-05,0.14307,0.018565,20.18196,18.49787,17.47227,17.02505,16.67553,0.08391539,0.01049709,0.006703348,0.00639574,0.01535557
1237662503218839651,236.25418,36.106436,0.06515587,1.879184E-05,0.073603,0.00819,19.42859,17.42578,16.53966,16.10832,15.82342,0.05733432,0.006216348,0.004556844,0.004558233,0.009785328
